path,workflow,ttfp_s,latency_p50_ms,latency_p95_ms,fps,throughput_sps,dropped_pct,cpu_avg,cpu_max,rss_avg_mb,rss_max_mb,n_frames,n_param_changes
runs\20250829_173433.csv,W?,0.041545100044459105,34.67960003763437,53.12359984964132,8.169931774052568,232531.0,0.0,17.10059880239521,64.2,254.01796407185628,256.0,489,0
runs\20250829_173558.csv,W?,0.04800960002467036,34.297200036235154,47.766400035470724,7.820322352195323,232270.0,0.0,13.35137614678899,29.4,259.9449541284404,262.0,304,0
runs\20250829_173733.csv,W?,0.06257289997301996,34.60234997328371,51.05630005709827,8.223691918047074,230938.0,0.0,14.30952380952381,54.8,263.07738095238096,266.0,494,0
runs\20250829_173903.csv,W?,0.04103190009482205,38.56280003674328,53.545699920505285,7.821039600252916,231751.5,0.0,26.474233128834356,54.3,264.9447852760736,267.0,463,0
runs\20250829_174027.csv,W?,0.07893740013241768,38.61270018387586,57.1944999974221,8.15598352498821,229763.5,0.0,26.348205128205127,67.7,266.01025641025643,268.0,566,0
runs\20250829_174213.csv,W?,0.04287580004893243,34.40160001628101,48.92949992790818,8.16772714560004,232337.0,0.0,13.498224852071004,38.7,266.89940828402365,268.0,492,0
runs\20250829_174343.csv,W?,0.05898740002885461,34.489399986341596,48.48550003953278,7.930388835709656,232906.0,0.0,12.938690476190475,35.4,267.07142857142856,269.0,477,0
runs\20250829_174504.csv,W?,0.07487450004555285,38.41529996134341,57.404400082305074,7.900392462167737,229242.5,0.0,25.935151515151517,65.2,267.1454545454545,270.0,466,0
runs\20250829_174633.csv,W?,0.04552329983562231,34.55420001409948,50.486600026488304,8.128304282950293,232818.0,0.0,14.10701754385965,69.9,267.08187134502924,270.0,499,0
runs\20250829_174818.csv,W?,0.07228820002637804,34.19199981726706,49.61140011437237,8.336094063729698,232957.0,0.0,13.166470588235295,28.2,267.0882352941176,270.0,503,0
