time_s,cpu_percent,rss_mb
5.000,12.07,339.8
5.100,13.66,340.5
5.201,9.75,340.2
5.301,13.64,339.8
5.400,9.53,339.7
5.501,10.01,339.8
5.601,13.56,340.8
5.701,11.86,339.7
5.801,13.68,339.7
5.901,9.70,339.8
6.001,11.72,339.7
6.100,13.36,339.7
6.201,7.75,339.8
6.301,10.07,339.8
6.401,7.85,339.9
6.500,11.71,339.8
6.600,15.40,339.9
6.700,9.68,339.7
6.800,11.84,339.8
6.900,9.93,339.8
7.000,11.75,339.8
7.101,9.51,340.6
7.200,11.90,339.8
7.300,13.89,339.7
7.400,11.68,339.7
7.501,11.62,339.7
7.600,13.66,340.1
7.700,9.89,340.6
7.800,13.62,340.3
7.901,11.66,339.7
8.001,11.69,340.6
8.101,11.71,339.7
8.200,11.79,340.6
8.300,13.68,339.8
8.401,11.66,340.4
8.501,11.69,340.6
8.601,13.57,340.6
8.700,11.94,339.9
8.800,13.28,339.8
8.900,12.06,339.7
9.000,11.72,339.9
9.101,13.60,339.9
9.201,11.72,339.9
9.301,13.68,339.9
9.401,11.69,340.6
9.500,11.71,340.6
9.600,13.66,339.8
9.700,11.85,339.8
9.800,13.66,339.9
9.900,11.70,339.9
10.000,11.72,339.9
10.100,13.68,339.8
10.201,9.71,340.6
10.300,13.75,340.1
10.400,11.71,340.0
10.500,11.68,339.8
10.601,13.49,340.1
10.701,11.90,339.9
10.800,11.74,339.9
10.901,11.62,340.9
11.001,11.74,339.9
11.101,13.03,339.8
11.201,10.29,339.8
11.301,13.66,340.9
11.400,11.49,340.5
11.500,12.04,339.9
11.600,13.55,339.8
11.701,11.76,339.9
11.801,13.66,339.8
11.901,11.72,339.9
12.001,11.71,340.2
12.101,13.70,339.8
12.201,11.69,339.9
12.300,13.78,339.8
12.400,11.57,339.8
12.501,9.82,339.8
12.600,13.64,339.9
12.700,11.82,340.1
12.801,13.64,339.8
12.901,11.71,339.7
13.000,11.75,339.9
13.101,13.59,339.8
13.201,11.74,339.9
13.301,13.64,339.8
13.401,11.75,339.9
13.501,13.36,339.9
13.600,11.89,340.7
13.700,11.82,340.9
13.801,11.72,340.9
13.900,11.35,339.9
14.000,12.14,340.8
14.100,13.39,340.1
14.201,11.93,340.3
14.301,13.71,339.9
14.401,11.72,339.8
14.500,11.57,340.6
14.601,13.70,339.9
14.701,11.85,339.8
14.801,13.66,339.8
14.901,11.72,339.8
15.001,11.70,339.8
15.101,13.66,339.8
15.200,11.78,339.9
15.301,13.62,339.8
15.401,11.68,339.9
15.501,11.61,339.9
15.600,13.76,340.3
15.701,11.79,340.8
15.801,13.68,340.1
15.901,11.70,339.9
16.001,11.74,339.8
