pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,16760.894852,16761.003210,0.108359,108.359
1,16762.895560,16762.913549,0.017988,17.988
2,16764.896388,16765.004318,0.107929,107.929
3,16766.894872,16767.002990,0.108118,108.118
4,16768.892224,16769.005841,0.113618,113.618
5,16770.896095,16771.003165,0.107070,107.070
6,16772.892391,16773.000347,0.107956,107.956
7,16774.894592,16775.002259,0.107667,107.667
8,16776.893606,16777.001774,0.108168,108.168
9,16778.893083,16778.911073,0.017990,17.990
10,16780.894823,16781.003056,0.108233,108.233
11,16782.894735,16783.002733,0.107998,107.998
12,16784.893155,16785.000822,0.107668,107.668
13,16786.893579,16787.001558,0.107979,107.979
14,16788.892195,16788.999478,0.107283,107.283
15,16790.896543,16791.004505,0.107962,107.962
16,16792.891731,16793.005370,0.113638,113.638
17,16794.896590,16794.908516,0.011926,11.926
18,16796.892844,16796.999818,0.106974,106.974
19,16798.894863,16799.002855,0.107992,107.992
20,16800.895605,16801.003076,0.107471,107.471
21,16802.894672,16803.002669,0.107997,107.997
22,16804.894518,16805.002519,0.108001,108.001
23,16806.893276,16807.001128,0.107852,107.852
24,16808.893742,16809.001689,0.107947,107.947
25,16810.892891,16810.910869,0.017979,17.979
26,16812.897118,16813.005130,0.108013,108.013
27,16814.895593,16815.003127,0.107534,107.534
28,16816.896518,16817.004532,0.108014,108.014
29,16818.896207,16819.003704,0.107497,107.497
30,16820.895817,16821.003348,0.107531,107.531
31,16822.897124,16823.004588,0.107464,107.464
32,16824.893666,16825.001614,0.107948,107.948
