pulse_idx,t_in_s,t_out_s,latency_s,latency_ms
0,19335.139634,19335.157575,0.017941,17.941
1,19337.137824,19337.268793,0.130969,130.969
2,19339.139090,19339.260364,0.121274,121.274
3,19341.138672,19341.279372,0.140700,140.700
4,19343.140286,19343.256184,0.115898,115.898
5,19345.141181,19345.268783,0.127602,127.602
6,19347.137689,19347.259451,0.121762,121.762
7,19349.138585,19349.265701,0.127116,127.116
8,19351.137982,19351.257978,0.119997,119.997
9,19353.138071,19353.156115,0.018044,18.044
10,19355.140622,19355.157296,0.016673,16.673
11,19357.140689,19357.157838,0.017149,17.149
12,19359.140652,19359.157883,0.017231,17.231
13,19361.141029,19361.158705,0.017676,17.676
14,19363.139280,19363.156972,0.017691,17.691
15,19365.142716,19365.257947,0.115231,115.231
16,19367.142718,19367.258239,0.115521,115.521
17,19369.137975,19369.259905,0.121930,121.930
18,19371.143021,19371.264119,0.121098,121.098
19,19373.143734,19373.167670,0.023936,23.936
20,19375.138573,19375.162561,0.023988,23.988
21,19377.143330,19377.360364,0.217034,217.034
22,19379.138408,19379.364603,0.226195,226.195
23,19381.142337,19381.369590,0.227253,227.253
24,19383.142832,19383.357460,0.214628,214.628
25,19385.142589,19385.368999,0.226410,226.410
26,19387.140690,19387.262022,0.121331,121.331
27,19389.139393,19389.255335,0.115942,115.942
28,19391.137566,19391.258428,0.120862,120.862
29,19393.139630,19393.255570,0.115940,115.940
30,19395.141999,19395.289094,0.147095,147.095
31,19397.137949,19397.258042,0.120093,120.093
32,19399.137807,19399.256881,0.119074,119.074
33,19401.137538,19401.257778,0.120240,120.240
